"v t e Politics of outer space","v t e Politics of outer space","v t e Politics of outer space"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Truman space policy , URL: /wiki/Space_policy_of_the_United_States#Truman_administration
","Operation Paperclip Aerobee rocket program RAND Establishment of Cape Canaveral"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Eisenhower space policy , URL: /wiki/Space_policy_of_the_United_States#Eisenhower_administration
","WS-117L Project Vanguard Sputnik crisis Introduction to Outer Space 1958 NASA Act Cancellation of Man in Space Soonest Launch of Project Mercury Missile gap Launch of X-15 program"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Kennedy space policy , URL: /wiki/Space_policy_of_the_United_States#Kennedy_administration
","Launch of the Mariner program Launch of the Gemini project Launch of the Apollo program "We choose to go to the Moon""
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Johnson space policy , URL: /wiki/Space_policy_of_the_United_States#Johnson_administration
","1967 Outer Space Treaty"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Nixon space policy , URL: /wiki/Space_policy_of_the_United_States#Nixon_administration
","Moon landing Extra-Terrestrial Exposure Law Launch of the Space Shuttle Program Skylab"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Ford space policy , URL: /wiki/Space_policy_of_the_United_States#Ford_administration
","Apollo–Soyuz Launch of the Viking program"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Carter space policy , URL: /wiki/Space_policy_of_the_United_States#Carter_administration
",""
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Reagan space policy , URL: /wiki/Space_policy_of_the_United_States#Reagan_administration
","Citizens' Advisory Council Strategy of Technology doctrine Strategic Defense Initiative Space Station Freedom proposal 1984 Space Act 1985 anti-satellite missile test Space Shuttle Challenger disaster Rogers Report Ride Report"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","George H. W. Bush space policy , URL: /wiki/Space_policy_of_the_United_States#George_H._W._Bush_administration
","Space Exploration Initiative 1990 Augustine Committee Hubble National Space Council"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Clinton space policy , URL: /wiki/Space_policy_of_the_United_States#Clinton_administration
","Faster, better, cheaper Gore–Chernomyrdin Commission ISS Shuttle–Mir program ISS programme Politics Launch of the Mars Exploration Program 1998 Space Act Decadal Planning Team Launch of the X-37 program"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","George W. Bush space policy , URL: /wiki/Space_policy_of_the_George_W._Bush_administration
","Aerospace Industry Commission 2002 National missile defense directive Space Shuttle Columbia disaster Vision for Space Exploration Aldridge Commission ESAS 2005 NASA Act Launch of the Constellation program Operation Burnt Frost"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Obama space policy , URL: /wiki/Space_policy_of_the_Obama_administration
","2009 Augustine Committee Kennedy Space Center speech Cancellation of the Constellation program Launch of the Space Launch System program Redesign of the Orion program Flexible path Mars Exploration Joint Initiative 2010 NASA Act Title 51 Space Shuttle retirement Development of the Commercial Crew Program 2014 NASA Act 2015 Space Act"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","Trump space policy , URL: /wiki/Space_policy_of_the_Donald_Trump_administration
","Re-establishment of the National Space Council Creation of the Space Force Launch of the Artemis program Launch of the Lunar Gateway project Executive Order 13959"
"US space policy , URL: /wiki/Space_policy_of_the_United_States
","China exclusion policy of NASA International Traffic in Arms Regulations Full-spectrum dominance doctrine Budget of NASA House Committee on Space NESDIS Office of Space Commerce FCC FAA/AST NRO IEEE Aerospace and Electronic Systems Society Antennas & Propagation Society Broadcast Technology Society Geoscience and Remote Sensing Society Vehicular Technology Society","China exclusion policy of NASA International Traffic in Arms Regulations Full-spectrum dominance doctrine Budget of NASA House Committee on Space NESDIS Office of Space Commerce FCC FAA/AST NRO IEEE Aerospace and Electronic Systems Society Antennas & Propagation Society Broadcast Technology Society Geoscience and Remote Sensing Society Vehicular Technology Society"
"USSR and Russia","Soviet space program , URL: /wiki/Soviet_space_program
","Stalin
Operation Osoaviakhim (1946)

Khrushchev
Sputnik program Sputnik crisis (1957) Vostok program (1960–1963) Fractional Orbital Bombardment System (1960–1982) Soviet crewed lunar programs (1961–1976) Voskhod program (1964–1966)

Brezhnev
Soyuz program (1967–) Interkosmos (1967–1991) Salyut program (1971–1986) Almaz (1973–1977) Buran program (1974–1993) Apollo–Soyuz (1975)

Gorbachev
Mir (1986–2001)


"
"USSR and Russia","Roscosmos , URL: /wiki/Roscosmos
","Yeltsin
Gore–Chernomyrdin Commission ISS (1993–) Shuttle–Mir program ISS programme Politics

Medvedev
Medvedev modernisation programme 2010 Military doctrine

Putin
United Rocket and Space Corporation (2013–2015) 2014 Military doctrine 2015 Creation of Roscosmos Mars MARS-500 study ExoMars


"
"Other policies","Australian space program Brazilian space program Japanese space program Kazakh space program North Korean space program Lebanese space program Pakistani space program Space programme 2040 Philippine space program Kenyan space program Ugandan space initiatives UAE space program International Space Station programme Politics of the International Space Station","Australian space program Brazilian space program Japanese space program Kazakh space program North Korean space program Lebanese space program Pakistani space program Space programme 2040 Philippine space program Kenyan space program Ugandan space initiatives UAE space program International Space Station programme Politics of the International Space Station"
"United Nations","International Civil Aviation Organization ITU-R Office for Outer Space Affairs UN-SPIDER Space Generation Advisory Council Committee on the Peaceful Uses of Outer Space General Assembly Fourth Committee","International Civil Aviation Organization ITU-R Office for Outer Space Affairs UN-SPIDER Space Generation Advisory Council Committee on the Peaceful Uses of Outer Space General Assembly Fourth Committee"
"Other intergovernmental or inter-agency bodies","Consultative Committee for Space Data Systems Committee on Earth Observation Satellites Committee on Space Research International Planetary Data Alliance International Cospas-Sarsat Programme Group on Earth Observations Global Standards Collaboration Inter-Agency Space Debris Coordination Committee International Charter 'Space and Major Disasters' International Mobile Satellite Organization International Space Exploration Coordination Group International Space Station Multilateral Coordination Board International Telecommunications Satellite Organization Intersputnik Orbital Debris Co-ordination Working Group Regional African Satellite Communication Organization Arab Satellite Communications Organization Asia-Pacific Space Cooperation Organization","Consultative Committee for Space Data Systems Committee on Earth Observation Satellites Committee on Space Research International Planetary Data Alliance International Cospas-Sarsat Programme Group on Earth Observations Global Standards Collaboration Inter-Agency Space Debris Coordination Committee International Charter 'Space and Major Disasters' International Mobile Satellite Organization International Space Exploration Coordination Group International Space Station Multilateral Coordination Board International Telecommunications Satellite Organization Intersputnik Orbital Debris Co-ordination Working Group Regional African Satellite Communication Organization Arab Satellite Communications Organization Asia-Pacific Space Cooperation Organization"
"Space law , URL: /wiki/Space_law
","Partial Test Ban Treaty (1963) Outer Space Treaty (1967) Rescue Agreement (1968) Space Liability Convention (1972) US-USSR Cooperation Agreement (1972) Satellite Convention (1974) Registration Convention (1975) Bogota Declaration (1976) Cospas-Sarsat Memorandum of Understanding (1979) Moon Treaty (1979) Prevention of an Arms Race in Outer Space (1981) International Space Station Intergovernmental Agreement (1998) International Docking System Standard International Charter 'Space and Major Disasters' (1999) Cape Town Treaty, Space Assets protocol (2012) Artemis Accords (2020) Space jurisdiction Common heritage of mankind Extraterrestrial real estate Astronomical naming conventions ITU Radio Regulations CCSDS standards ODCWG standards CEOS standards COSPAR standards International Designator IPDA standards GSC standards GEO standards ISECG standards Various conventions, treaties, agreements, memorandums, charters or declarations establishing and governing intergovernmental organisations or inter-agency bodies dealing with space affairs","Partial Test Ban Treaty (1963) Outer Space Treaty (1967) Rescue Agreement (1968) Space Liability Convention (1972) US-USSR Cooperation Agreement (1972) Satellite Convention (1974) Registration Convention (1975) Bogota Declaration (1976) Cospas-Sarsat Memorandum of Understanding (1979) Moon Treaty (1979) Prevention of an Arms Race in Outer Space (1981) International Space Station Intergovernmental Agreement (1998) International Docking System Standard International Charter 'Space and Major Disasters' (1999) Cape Town Treaty, Space Assets protocol (2012) Artemis Accords (2020) Space jurisdiction Common heritage of mankind Extraterrestrial real estate Astronomical naming conventions ITU Radio Regulations CCSDS standards ODCWG standards CEOS standards COSPAR standards International Designator IPDA standards GSC standards GEO standards ISECG standards Various conventions, treaties, agreements, memorandums, charters or declarations establishing and governing intergovernmental organisations or inter-agency bodies dealing with space affairs"
"Commercial use , URL: /wiki/Commercial_use_of_space
","Space industry India Russia UK US Private spaceflight Launch market competition Space tourism Space advertising Space technology Space-based economy Space trade Space manufacturing Lunar resources Project Harvest Moon Asteroid mining","Space industry India Russia UK US Private spaceflight Launch market competition Space tourism Space advertising Space technology Space-based economy Space trade Space manufacturing Lunar resources Project Harvest Moon Asteroid mining"
"Militarisation , URL: /wiki/Militarisation_of_space
","Space forces, units and formations , URL: /wiki/List_of_space_forces,_units,_and_formations
","Space forces China France Iran Russia US History Structure Ranks and insignia Space commands France India NATO NORAD UK US"
"Militarisation , URL: /wiki/Militarisation_of_space
","Space warfare , URL: /wiki/Space_warfare
","Space domain awareness Space weapon Anti-satellite weapon China India Russia US Kinetic bombardment Kill vehicle Missile defense Military satellite Reconnaissance satellite Spaceplane Satellite jamming"
"Space advocacy , URL: /wiki/Space_advocacy
","Alliance for Space Development National Space Society Space Frontier Foundation Mars Society Moon Society Students for the Exploration and Development of Space Arthur C. Clarke Institute for Modern Technologies British Interplanetary Society Coalition for Deep Space Exploration International Academy of Astronautics International Astronautical Federation International Astronomical Union Lunar Explorers Society Space Exploration Alliance Space Fellowship Space Force Association Space Foundation The Planetary Society","Alliance for Space Development National Space Society Space Frontier Foundation Mars Society Moon Society Students for the Exploration and Development of Space Arthur C. Clarke Institute for Modern Technologies British Interplanetary Society Coalition for Deep Space Exploration International Academy of Astronautics International Astronautical Federation International Astronomical Union Lunar Explorers Society Space Exploration Alliance Space Fellowship Space Force Association Space Foundation The Planetary Society"
